S/NO.,gage_id,gage_desc,gage_brand,gage_rance,gage_slno,gage_calib_metho,tolerance,calib_date,calib_interval,calb_interval_unit,calib_due_date,clib_agency,calib_cert_no,gage_location,remarks,comments,master_gage_slno,master_gage_cert_no,master_gage_valid_date,temp1,temp2
270,Q-154 & Q-154A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"3-1/8"" - 4 STUB ACME - 2G",90647 & 90648,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-08,1,Years,2022-11-08,TRESCAL,SALDM/1709/1/21,QC GAUGE ROOM - H,FALSE,,,,,2022-11-15,2022-10-25
271,Q-156,DEPTH MICROMETER,MITUTOYO," 0"" - 12""",115304,QCD/TRSG/PROCEDURE 007 / TRSG/QM/001/20,BS 6468 OR PER MANUFACTURER SPECIFICATION,2022-08-17,1,Years,2023-08-17,TRESCAL,SALDM/1346/1/22,Machine Shop (HBMB1),TRUE,,,,,2022-11-15,2023-08-03
272,Q-160,BEVEL PROTRACTOR,MITUTOYO,-,127517,MDCP-39:2020,BS 1685 OR PER MANUFACTURER SPECIFICATION,2021-12-29,1,Years,2022-12-29,Ming Deng,MDL214087-5,QC GAUGE ROOM - I,TRUE,,,,,2022-11-15,2022-12-15
273,Q-161 & Q-161A,CAMLOCK MICROMETER,GAGEMAKER,"1"" - 2""",A133262 & A133064,QCD/TRSG/PROCEDURE 005 / TRSG/QM/001/20,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/3/22,QC GAUGE ROOM - J,TRUE,,,,,2022-11-15,2023-08-19
274,Q-162 & Q-162A,CAMLOCK MICROMETER,GAGEMAKER,"3"" - 4""",A133274 & A133076,QCD/TRSG/PROCEDURE 005 / TRSG/QM/001/20,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/5/22,QC GAUGE ROOM - J,TRUE,,,,,2022-11-15,2023-08-19
275,Q-166,DIGITAL CALIPER,MITUTOYO,"0"" - 6""",13192327,MDCP-02:2020,BS 887 / JIS B 7507 OR PER MANUFACTURER SPECIFICATION,2021-12-16,1,Years,2022-12-16,Ming Deng,MDL213871-5,QC GAUGE ROOM - B,TRUE,,,,,2022-11-15,2022-12-02
276,Q-169 & Q-169A,"RING GAUGE
(GO & NO GO)",TG,"6-1/4"" - 4 STUB ACME - 2G ",96616 & 96617,CM/EMS/0195,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-18,1,Years,2022-11-18,TRESCAL,135587,QC GAUGE ROOM - H,FALSE,,,,,2022-11-15,2022-11-04
277,Q-170 & Q-170A,"RING GAUGE
(GO & NO GO)",TG,"4-5/8"" - 4 STUB ACME - 2G",96610 & 96611,CM/EMS/0195,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-18,1,Years,2022-11-18,TRESCAL,135586,QC GAUGE ROOM - H,FALSE,,,,,2022-11-15,2022-11-04
278,Q-171 & Q-171A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"4-1/4"" - 8 UN - 2A",96608 & 96609,CM/EMS/0195,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-02,1,Years,2022-09-02,TRESCAL,135420,QC GAUGE ROOM - C,FALSE,,,,,2022-11-15,2022-08-19
279,Q-172 & Q-172A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"4-1/8"" - 8 UN - 2A",96614 & 96615,CM/EMS/0195,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-02,1,Years,2022-09-02,TRESCAL,135421,QC GAUGE ROOM - C,FALSE,,,,,2022-11-15,2022-08-19
280,Q-173 & Q-173A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"4"" - 8 UN - 2A ",96606 & 96607,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-30,1,Years,2022-12-30,TRESCAL,SNLDM/0384/7/21,QC GAUGE ROOM - C,TRUE,,,,,2022-11-15,2022-12-16
281,Q-174 & Q-174A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"3-1/8"" - 8 UN - 2A",96600 & 96601,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-31,1,Years,2022-12-31,TRESCAL,SALDM/2184/22/21,QC GAUGE ROOM - C,TRUE,,,,,2022-11-15,2022-12-17
282,Q-175 & Q-175A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"3 "" - 8 UN - 2A",96602 & 96603,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-31,1,Years,2022-12-31,TRESCAL,SALDM/2184/23/21,QC GAUGE ROOM - C,TRUE,NOT REQUIRED CALIBRATION,,,,2022-11-15,2022-12-17
283,Q-177 & Q-177A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"2-5/8"" - 8 UN - 2A",96595 & 96596,MDCP-14:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-06,1,Years,2023-01-06,Ming Deng,MDL214090-2,QC GAUGE ROOM - C,TRUE,NOT REQUIRED CALIBRATION,,,,2022-11-15,2022-12-23
284,Q-179 & Q-179A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"1-3/4"" - 8 ACME - 2G",96590 & 96591,MDCP-14:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-06,1,Years,2023-01-06,Ming Deng,MDL214090-3,QC GAUGE ROOM - H,TRUE,,,,,2022-11-15,2022-12-23
285,Q-180 & Q-180A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"1-7/8"" - 8UN - 2A",96583 & 96584,MDCP-14:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-06,1,Years,2023-01-06,Ming Deng,MDL214090-1,QC GAUGE ROOM - C,TRUE,NOT REQUIRED CALIBRATION,,,,2022-11-15,2022-12-23
286,Q-182 & Q-182A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"1-1/2"" - 8 UN - 2A",96585 & 96586,MDCP-14:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-06,1,Years,2023-01-06,Ming Deng,MDL214090-7,QC GAUGE ROOM - C,TRUE,,,,,2022-11-15,2022-12-23
287,Q-184 & Q-184A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"1-3/4"" - 8 UN - 2A",F,MDCP-14:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-06,1,Years,2023-01-06,Ming Deng,MDL214090-4,QC GAUGE ROOM - C,TRUE,NOT REQUIRED CALIBRATION,,,,2022-11-15,2022-12-23
288,Q-185,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"3"" - 4 UNC - 2B",96635,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-29,1,Years,2022-12-29,TRESCAL,SALDM/2184/11/21,QC GAUGE ROOM - I,TRUE,,,,,2022-11-15,2022-12-15
289,Q-186 & Q-186A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"6-1/4""-4 TPI STUB ACME- 2G",96643 & 96644,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / ASME/ANSI B1.8-1988,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SNLDM/0109/1/22,QC GAUGE ROOM OUT SIDE,TRUE,,"110033
0101
000211509","14358
SALDM/1074/3/21
SALDM/0624/1/22","01.09.2022
12.08.2023
19.04.2023",2022-11-15,2023-04-21
290,Q-187 & Q-187A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"5-1/2"" - 8 TPI  ACME - 2G ",96621 & 96622,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-27,1,Years,2022-12-27,TRESCAL,SNLDM/0384/3/21,QC GAUGE ROOM - H,TRUE,,,,,2022-11-15,2022-12-13
291,Q-188 & Q-188A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"4"" - 8 UN - 2B ",96638 & 96639,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-06,1,Years,2022-11-06,TRESCAL,SNLDM/0322/1/21,QC GAUGE ROOM - D,FALSE,,,,,2022-11-15,2022-10-23
292,Q-189 & Q-189A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"4-5/8""-4 TPI STUB ACME- 2G",96636 & 96637,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-27,1,Years,2022-12-27,TRESCAL,SNLDM/0384/2/21,QC GAUGE ROOM - H,TRUE,,,,,2022-11-15,2022-12-13
293,Q-190 & Q-190A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"3-1/8"" - 8 UN - 2B",96632,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-25,1,Years,2022-11-25,TRESCAL,SALDM/1918/2/21,M/S GAUGE ROOM C18 & C19,FALSE,,,,,2022-11-15,2022-11-11
294,Q-193,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"2-5/8"" - 8 UN - 2B",96628,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-30,1,Years,2022-12-30,TRESCAL,SALDM/2184/15/21,M/S GAUGE ROOM H15,TRUE,,,,,2022-11-15,2022-12-16
295,Q-194,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"2-1/4"" - 12 UN - 2B",96629,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/5/22,QC GAUGE ROOM OUT SIDE,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-16
296,Q-195,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"2"" - 10 UN - 2B ",96627,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-07-07,1,Years,2023-07-07,TRESCAL,SALDM/0826/12/22,QC GAUGE ROOM - D,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-06-23
297,Q-196,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"2"" - 4.5 UNC - 2B",96620,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-19,M/S GAUGE ROOM H19,TRUE,,,,,2022-11-15,2022-12-22
298,Q-197,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-1/2"" - 16 UN - 2B",96623,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-2,M/S GAUGE ROOM H25,TRUE,,,,,2022-11-15,2022-12-22
299,Q-198,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1"" - 16 UN - 2B",96626,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-20,M/S GAUGE ROOM H24,TRUE,,,,,2022-11-15,2022-12-22
300,Q-200,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"7/8"" - 14 UNF - 2B",96642,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-29,1,Years,2022-12-29,TRESCAL,SALDM/2184/14/21,M/S GAUGE ROOM H31,TRUE,,,,,2022-11-15,2022-12-15
301,Q-201,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1/2"" - 20 UNF - 2B",96624,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-4,M/S GAUGE ROOM H28,TRUE,,,,,2022-11-15,2022-12-22
302,Q-210,DRIFT INSPECTION,-,18. 750'',-,MTQ STD,-,2021-11-08,1,Years,2022-11-08,--,--,Assy Shop,FALSE,IN-HOUSE INSPECTION,,,,2022-11-15,2022-10-25
303,Q-215,MUELLER GAUGE,MUELLER,"24""  - 36""",NFC 028,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20,ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2021-11-09,1,Years,2022-11-09,TRESCAL,SALDM/1709/2/21,QC GAUGE ROOM - B,FALSE,,,,,2022-11-15,2022-10-26
304,Q-219,COATING THICKNESS GAUGE,FISCHER,0 - 8 MM,130004787 (DISPLAY) & 0513G00029 (PROBE),MP-DIM-01 (T) REV:0,"FKB10- 0-0.5MM ? 0.01MM; 0.5 TO 8MM: ?2% OF READING
FGB2 - 0-0.1 MM: ± 1.5 µm; 0.1 - 3mm: ? 1.5% of value; 3-5mm: ? 5% of value
FKB25 - 0-1 MM: ±0.02MM; 1-7MM: <2% OF VALUE; 7-15 MM:< 5% OF VALUE",2022-08-08,1,Years,2023-08-08,CALTEK,CTJ22-5234 / MPD 3101M-22,QC GAUGE ROOM - I,TRUE,,"2009-018
MP1092D
MP1093D
3008","OPC 2103-0227-1/1
OPC 2203-0262-1/1
OPC2203-0263-1/1
SG 3367","02.02.2023
19.03.2024
19.03.2024
20.06.2025",2022-11-15,2023-07-25
305,Q-224,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,5/8'' - 11 UNC - 2B,105385,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/57/22,M/S GAUGE ROOM H27,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
306,Q-228,"PLUG GAUGE 
(GO & NO GO)",GAGE ASSEMBLY,"13/16"" - 16 UN - 2B",-,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0675/41/22,QC GAUGE ROOM - D,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-20
307,Q-229,"3 Point Internal Micrometer : 2.00"" - 4.00''",,#N/A,34296 c/w R31337/R31328/R31325,,,2020-12-30,1,Years,2021-12-30,,,QC GAUGE ROOM - J,HOLD,,,,,2022-11-15,2021-12-16
308,Q-229A,3 Point Internal Micrometer - Setting Ring 2.62497,,#N/A,342682,,,2020-12-30,1,Years,2021-12-30,,,QC GAUGE ROOM - J,HOLD,,,,,2022-11-15,2021-12-16
309,Q-229B,3 Point Internal Micrometer - Setting Ring 3.25011,,#N/A,341478,,,2020-12-30,1,Years,2021-12-30,,,QC GAUGE ROOM - J,HOLD,,,,,2022-11-15,2021-12-16
310,Q-231,"HOLTEST MICROMETER 
(3 Point Internal Micrometer)",BOWERS,"0.250"" - 0.375""",04661 C/W R29109/R21697,QCD/TRSG/SEAMS 0007 / TRSG/QM/001/20,BS 969 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/24/22,QC GAUGE ROOM - J,TRUE,,RGSET/001~081,SALDM/1043/1/21 & SALDM/1043/2/21,06.08.2023,2022-11-15,2023-04-16
311,Q-231A,"RING GAUGE 
(3 Point Internal Micrometer - Setting Ring) ",BOWERS,0.31249,340425,QCD/TRSGPROCEDURE 002 / TRSG/QM/001/20,BS 969 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/25/22,QC GAUGE ROOM - J,TRUE,,"1146
1498","01137-0122-00536-CMDD
CM-208993/10/1","26.01.2023
22.04.2023",2022-11-15,2023-04-16
312,Q-232,MUELLER GAUGE,MUELLER," 24"" - 36""",SDJ242,"QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / 
ASME B89.1.10M-2001",ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-05-26,1,Years,2023-05-26,TRESCAL,SALDM/0826/1/22,QC GAUGE ROOM - B,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-05-12
313,Q-233,"SHALLOW DIAMETER GAUGE
(MUELLER GAUGE)",MUELLER,"18"" - 24""",SDJ 252,"QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / 
ASME B89.1.10M-2001",ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-05-14,1,Years,2023-05-14,TRESCAL,SALDM/0754/2/22,QC GAUGE ROOM - B,SCRAPPED,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-30
314,Q-234,MUELLER GAUGE,MUELLER,"18"" - 24""",SDJ248,"QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / 
ASME B89.1.10M-2001",ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-05-26,1,Years,2023-05-26,TRESCAL,SALDM/0826/2/22,QC GAUGE ROOM - B,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-05-12
315,Q-235,Bore Gauge c/w Dial Indicator: 2'' - 6'',,#N/A,2178376 c/w DIAL INDICATOR S/N: RHT707,,,2021-01-27,1,Years,2022-01-27,,,QC GAUGE ROOM OUT SIDE,HOLD,,,,,2022-11-15,2022-01-13
316,Q-236,Bore Gauge c/w Dial Indicator: 1.4'' - 2.5'',,#N/A,3206996  c/w DIAL INDICATOR S/N: RUW 865,,,2021-01-27,1,Years,2022-01-27,,,QC GAUGE ROOM OUT SIDE,HOLD,,,,,2022-11-15,2022-01-13
317,Q-239,SURFACE ROUGHNESS TESTER,MITUTOYO,-,201561305/027631305/340591304,QCD/TRSG/SEAMS 0026/ TRSG/QM/001/20,"ISO 12179:2000
ACCURACY OF READING: ±0.2 µM",2021-12-24,1,Years,2022-12-24,TRESCAL,SNLDM/0384/5/21,QC BAY C TROLLY 2  L3,TRUE,,,,,2022-11-15,2022-12-10
318,Q-242,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-1/8"" - 12 UNF - 2B",#1,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-21,QC BAY C TROLLY 1 L3,TRUE,,,,,2022-11-15,2022-12-22
319,Q-248,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-5/8"" - 8 UN - 2B",#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0675/43/22,M/S GAUGE ROOM H13,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-20
320,Q-249,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-3/4""-8 UN - 2B",#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/59/22,M/S GAUGE ROOM H8,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
321,Q-250,"PLUG GAUGE 
(GO & NO GO)","1-7/8""  - 8 UN - 2B","1-7/8"" - 8 UN - 2B",#2,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-30,1,Years,2023-05-30,TRESCAL,SALDM/0675/8/22,QC BAY C TROLLY 1 L2,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-05-16
322,Q-251,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"2"" - 8 UN - 2B",#2,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-29,1,Years,2023-05-29,TRESCAL,SALDM/0784/10/22,QC BAY C TROLLY 1 L2,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-05-15
323,Q-252,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"2-1/8""  - 8 UN - 2B",#2,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-29,1,Years,2022-12-29,TRESCAL,SALDM/2184/6/21,QC GAUGE ROOM - D,TRUE,,,,,2022-11-15,2022-12-15
324,Q-254,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"2-1/4"" - 8 UN - 2B",#2,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/59/22,M/S GAUGE ROOM H4,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
325,Q-256,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,2-1/2“  - 8 UN - 2B,#2,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-29,1,Years,2022-12-29,TRESCAL,SALDM/2184/10/21,QC GAUGE ROOM - D,TRUE,,,,,2022-11-15,2022-12-15
326,Q-257,PLUG GAUGE (GO & NO GO),PMC MERCURY,"2-3/4"" - 8 UN - 2B",#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","± 0.001""",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/49/22,QC BAY C TROLLY 1 L2,SCRAPPED,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
327,Q-267,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1/4"" - 20 UNC - 2B",#1,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-18,QC BAY C TROLLY 1 L3,TRUE,,,,,2022-11-15,2022-12-22
328,Q-270,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"3/8"" - 16 UNC - 2B",#1,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/62/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
329,Q-271,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,7/16“ - 14 UNC - 2B,#3,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-1,QC GAUGE ROOM - I,TRUE,,,,,2022-11-15,2022-12-22
